Year,Rate
1964,44.344
1964,24.2
1964,
1964,
1964,50.297
1964,40.795
1964,40.16
1964,45.608
1964,42.908
1964,
1964,42.136
1964,18.1
1964,31.0
1964,34.591
1964,23.8
1964,40.851
1964,44.737
1964,39.85
1964,
1964,52.796
1964,
1964,48.683
1964,46.241
1964,49.807
1964,32.8
1964,43.53
1964,46.591
1964,46.731
1964,
1964,50.875
1964,
1964,
1964,
1964,50.831
1964,43.397
1964,
1964,17.9
1964,16.0
1964,48.177
1964,
1964,47.978
1964,
1964,45.406
1964,47.541
1964,42.214
1964,46.088
1964,42.56
1964,44.024
1964,35.217
1964,
1964,42.639
1964,
1964,49.04
1964,49.145
1964,
1964,
1964,20.7
1964,21.1
1964,
1964,45.205
1964,
1964,
1964,45.145
1964,46.392
1964,
1964,45.591
1964,54.761
1964,40.52
1964,48.915
1964,47.977
1965,29.513
1965,52.168
1965,53.836
1965,37.008
1965,25.518
1965,46.5728755776195
1965,41.232
1965,22.761
1965,29.232
1965,
1965,28.6
1965,19.6
1965,17.9
1965,37.114
1965,44.782
1965,16.5
1965,45.459
1965,47.441
1965,47.055
1965,15.3
1965,45.861
1965,35.458
1965,28.146
1965,20.76
1965,41.055
1965,21.725
1965,45.564
1965,39.66
1965,26.48
1965,39.835
1965,47.504
1965,46.343
1965,43.721
1965,21.3
1965,19.1
1965,17.158
1965,34.722
1965,37.88
1965,53.21
1965,44.288
1965,43.033
1965,42.672
1965,47.352
1965,45.571
1965,40.652
1965,34.401
1965,
1965,23.163
1965,14.4
1965,17.4
1965,50.957
1965,
1965,18.0
1965,47.505
1965,49.711
1965,39.1167842358208
1965,36.8877541811
1965,
1965,20.2683985293
1965,43.542
1965,43.051
1965,18.6117364348945
1965,48.128
1965,21.0
1965,15.2
1965,47.927
1965,17.9180620310405
1965,17.1
1965,39.213
1965,17.8
1965,
1965,42.356
1965,31.751
1965,18.3
1965,21.446
1965,47.654
1965,
1965,49.128
1965,48.691
1965,37.393
1965,40.653
1965,17.7
1965,34.581
1965,
1965,45.303
1965,34.164
1965,41.041
1965,19.8891030921894
1965,28.1
1965,49.004
1965,48.277399165035
1965,16.576
1965,42.201
1965,13.1
1965,43.22
1965,44.76
1965,22.1
1965,45.127
1965,44.635
1965,24.4
1965,25.8
1965,19.1
1965,38.22
1965,53.126
1965,18.7
1965,
1965,50.738
1965,
1965,44.675
1965,
1965,
1965,34.98
1965,
1965,47.515
1965,39.6183517537241
1965,42.569
1965,36.355
1965,52.249
1965,49.331
1965,41.8
1965,39.4778548825
1965,47.4000776798555
1965,46.7394372579164
1965,
1965,32.9874
1965,40.8278272989619
1965,41.016989057277
1965,42.411
1965,18.78
1965,15.9
1965,14.56
1965,26.128
1965,49.339
1965,
1965,21.582
1965,47.994
1965,40.104
1965,45.6644864491
1965,44.134
1965,
1965,40.2434879165862
1965,27.397
1965,48.364
1965,17.6
1965,40.689
1965,46.0548688144708
1965,12.245
1965,42.86
1965,
1965,48.296
1965,48.764
1965,36.0
1965,55.265
1965,40.971
1965,45.195
1965,19.57523006
1965,42.208
1965,34.5
1965,57.743
1965,47.083
1965,47.001
1965,19.9
1965,30.8170774312146
1965,17.8
1965,44.254
1965,22.9
1965,19.3338711896677
1965,21.6282442502158
1965,50.222
1965,41.3
1965,39.912
1965,45.116
1965,42.492
1965,
1965,42.046
1965,17.4
1965,30.7
1965,35.13
1965,23.0
1965,40.501
1965,44.641
1965,39.102
1965,
1965,52.758
1965,44.6056595375662
1965,48.549
1965,46.224
1965,50.103
